code,Latitude,Longitude,src
ADFMO,-6.64776,145.20021,MAPBOX
ADI,37.77229,38.25939,MAPBOX
AE,40.45150,-3.58360,MAPBOX
AEAAN,23.77368,78.32389,MAPBOX
AEARZ,47.75465,-117.09658,MAPBOX
AEDAS,2.62019,102.05855,MAPBOX
AEDUJ,58.01291,26.25743,MAPBOX
AEDUY,58.01291,26.25743,MAPBOX
AEFAT,32.96805,35.49236,MAPBOX
AEIND,25.73330,74.33295,MAPBOX
AEJEA,42.12643,-1.13993,MAPBOX
AEJED,24.21178,55.68864,MAPBOX
AEKHA,1.14559,99.64749,MAPBOX
AEMAS,-7.88269,112.53219,MAPBOX
AEPRA,13.43891,144.65085,MAPBOX
AF,33.83881,66.02647,MAPBOX
AFBIN,38.24626,36.91524,MAPBOX
AFBST,50.33672,6.37542,MAPBOX
AFDAZ,13.69348,-15.53291,MAPBOX
AFFAH,46.75452,15.38986,MAPBOX
AFFBD,18.00000,31.15000,MAPBOX
AFGZI,37.40686,39.10313,MAPBOX
AFHEA,36.97911,-88.28439,MAPBOX
AFHRT,51.96348,11.43518,MAPBOX
AFIMZ,8.10033,1.02612,MAPBOX
AFJAA,4.22488,41.58452,MAPBOX
AFKUR,28.66540,77.09943,MAPBOX
AFMAS,-0.95748,131.33601,MAPBOX
AFSGA,8.89330,125.68817,MAPBOX
AFTGH,16.23209,43.21729,MAPBOX
AFTII,9.90000,38.41667,MAPBOX
AFTQN,29.74661,-95.45379,MAPBOX
AFUND,26.95952,77.01106,MAPBOX
AFURN,38.19595,71.35773,MAPBOX
AFURZ,28.55549,-16.24848,MAPBOX
AFZAJ,24.17456,55.81457,MAPBOX
AG,17.11793,-61.84388,MAPBOX
AGANU,-6.37440,145.64620,MAPBOX
AI,18.19459,-63.08183,MAPBOX
AIAXA,-19.59232,-46.94028,MAPBOX
AIBLP,46.68176,15.22638,MAPBOX
AIFOR,64.94939,11.96173,MAPBOX
AIRBY,29.47097,-98.38131,MAPBOX
AIROA,42.79225,-6.98280,MAPBOX
AIW,-0.53405,166.91328,MAPBOX
AIWLL,53.25361,-9.22710,MAPBOX
AL,32.82887,-86.78929,MAPBOX
ALDRZ,66.40102,13.11635,MAPBOX
ALTEN,49.03032,7.96781,MAPBOX
ALTIA,39.94117,32.91855,MAPBOX
AM,39.38127,-97.92221,MAPBOX
AMAHU,-3.72598,128.14522,MAPBOX
AMJER,26.46934,74.63997,MAPBOX
AO,-12.09939,17.91229,MAPBOX
AOARZ,46.56485,11.48158,MAPBOX
AOBUG,40.79301,29.35600,MAPBOX
AOCAB,21.13830,-86.85425,MAPBOX
AOCAV,-34.03207,18.44683,MAPBOX
AOCFF,33.90192,-116.48974,MAPBOX
AOCTI,49.14262,6.17230,MAPBOX
AODGR,60.30655,22.28882,MAPBOX
AODUE,54.08759,-7.50403,MAPBOX
AOFPO,-13.53917,-172.51890,MAPBOX
AOGGC,30.76045,48.28214,MAPBOX
AOJMB,-33.93057,-57.81043,MAPBOX
AOKTI,36.37155,138.12297,MAPBOX
AOLAA,53.28520,69.38147,MAPBOX
AOLAD,53.28520,69.38147,MAPBOX
AOLIE,48.86751,2.37574,MAPBOX
AOLOB,14.27070,-1.05420,MAPBOX
AOLUC,37.82870,40.84096,MAPBOX
AOLUO,0.84409,122.91419,MAPBOX
AOMAL,-6.90571,109.53357,MAPBOX
AOMEG,65.24029,21.54910,MAPBOX
AOMLO,59.60214,5.20820,MAPBOX
AOMSZ,34.73333,36.71667,MAPBOX
AONOV,14.25800,-12.54197,MAPBOX
AONRQ,22.62823,77.55599,MAPBOX
AONZA,45.58464,9.27526,MAPBOX
AOPAT,69.76146,-51.30129,MAPBOX
AOPGI,36.23274,6.56363,MAPBOX
AOPLE,44.73194,-93.21762,MAPBOX
AOSOQ,31.12725,30.64317,MAPBOX
AOSPP,41.10339,29.41478,MAPBOX
AOSSY,32.39503,-80.69564,MAPBOX
AOSZA,45.73737,7.32061,MAPBOX
AOTAK,-40.75619,175.13841,MAPBOX
AOUAL,43.55436,2.11573,MAPBOX
AQ,-72.82204,0.00000,MAPBOX
AR,-36.25200,-63.95419,MAPBOX
ARAEP,-15.58945,-56.09360,MAPBOX
ARAFA,3.30326,97.15019,MAPBOX
ARAOL,32.99484,130.43375,MAPBOX
ARAPZ,41.03013,29.02845,MAPBOX
ARATU,-3.77134,-38.63152,MAPBOX
ARBQS,39.52731,8.60059,MAPBOX
ARCCT,12.90486,79.32413,MAPBOX
ARCHL,49.04315,17.00812,MAPBOX
ARCLX,52.27169,-6.79259,MAPBOX
ARCNT,12.90486,79.32413,MAPBOX
ARCOC,36.74977,-5.80944,MAPBOX
ARCPG,45.34104,4.31429,MAPBOX
ARCRD,13.21235,79.70640,MAPBOX
ARCRR,43.08718,-8.93718,MAPBOX
ARCRY,36.59551,-4.52876,MAPBOX
ARCTC,41.70301,-71.52570,MAPBOX
ARCUA,-37.61389,144.69782,MAPBOX
ARCVH,39.44788,-77.50082,MAPBOX
ARCVI,34.79930,-85.12140,MAPBOX
ARELO,33.52439,-117.72396,MAPBOX
AREQS,43.42735,-8.24324,MAPBOX
ARFMA,64.77907,25.81766,MAPBOX
ARGGS,44.85723,24.87194,MAPBOX
ARGPO,-7.66430,110.46222,MAPBOX
ARHOS,36.74977,-5.80944,MAPBOX
ARIGB,36.29143,2.06898,MAPBOX
ARING,16.39599,120.35664,MAPBOX
ARIRJ,9.91667,38.03333,MAPBOX
ARJLS,46.42162,18.91443,MAPBOX
ARJUJ,28.65829,77.29675,MAPBOX
ARLCM,31.87632,-94.53336,MAPBOX
ARLHS,43.67625,4.62763,MAPBOX
ARLLS,43.67625,4.62763,MAPBOX
ARLMD,45.78353,7.46744,MAPBOX
ARMCS,47.45851,3.54732,MAPBOX
ARMDX,45.84920,5.58539,MAPBOX
ARMDZ,42.16922,44.37723,MAPBOX
ARMJR,42.74059,-78.79853,MAPBOX
ARMQD,38.94214,-77.01331,MAPBOX
ARNEC,28.99261,-97.27252,MAPBOX
AROBE,43.36431,-5.19781,MAPBOX
AROES,40.80010,-8.30150,MAPBOX
AROLN,49.68346,5.81677,MAPBOX
ARORA,-6.52532,145.71035,MAPBOX
AROYA,38.85486,-103.12506,MAPBOX
ARPCY,47.60201,3.75614,MAPBOX
ARPGV,56.18581,15.39703,MAPBOX
ARPLO,48.17715,20.25866,MAPBOX
ARPOC,7.67090,123.22180,MAPBOX
ARPSS,43.57494,-80.36616,MAPBOX
ARPUB,23.55891,-15.89942,MAPBOX
ARQLV,60.25896,24.12333,MAPBOX
ARQPQ,-23.58308,-46.40610,MAPBOX
ARRAM,53.88467,-0.42572,MAPBOX
ARRDS,54.66301,-5.66803,MAPBOX
ARREL,48.04909,4.27640,MAPBOX
ARRES,50.12817,1.61616,MAPBOX
ARRSA,50.29079,2.77878,MAPBOX
ARSAL,34.18060,36.41951,MAPBOX
ARSDE,45.98353,11.75780,MAPBOX
ARSFE,45.98353,11.75780,MAPBOX
ARSGV,60.17434,24.75184,MAPBOX
ARSLA,36.59327,30.52843,MAPBOX
ARSLO,41.33762,72.92771,MAPBOX
ARSMT,62.29202,6.11549,MAPBOX
ARSST,62.29202,6.11549,MAPBOX
ARTDL,46.27282,-63.12139,MAPBOX
ARTTG,15.05000,24.46667,MAPBOX
ARUAQ,2.35146,99.11636,MAPBOX
ARVCF,48.43069,-92.85360,MAPBOX
ARVDR,48.75903,-2.95787,MAPBOX
ARVGS,45.86219,7.23087,MAPBOX
ARVLG,60.29578,24.96662,MAPBOX
ARVMD,51.20255,11.98303,MAPBOX
ARVTT,32.45951,35.05919,MAPBOX
ARXMV,55.84698,14.22211,MAPBOX
ARXOS,36.74977,-5.80944,MAPBOX
AS,-25.28005,-57.63438,MAPBOX
ASFTI,44.89946,8.20445,MAPBOX
ASOFU,41.19006,31.62878,MAPBOX
ASTAV,40.29161,35.29230,MAPBOX
AT,47.60780,14.30014,MAPBOX
ATAHN,43.00630,-2.17600,MAPBOX
ATAMK,53.87115,53.60419,MAPBOX
ATANF,-6.54773,106.76032,MAPBOX
ATASP,23.42747,88.06261,MAPBOX
ATBBH,37.11056,41.76361,MAPBOX
ATBNF,-31.27056,149.09872,MAPBOX
ATBRL,21.10283,-101.58432,MAPBOX
ATEEZ,42.93925,-1.70936,MAPBOX
ATENA,9.97872,-84.37845,MAPBOX
ATEUH,5.55096,95.32593,MAPBOX
ATFLH,29.40804,31.27280,MAPBOX
ATFLT,14.38205,46.31272,MAPBOX
ATFRN,24.62578,46.84659,MAPBOX
ATFRT,14.38205,46.31272,MAPBOX
ATFST,50.33672,6.37542,MAPBOX
ATFTH,29.40804,31.27280,MAPBOX
ATGAN,25.27338,88.21168,MAPBOX
ATHAD,22.10035,73.96815,MAPBOX
ATHAU,26.53706,85.50649,MAPBOX
ATHLL,-35.41305,149.06162,MAPBOX
ATHMG,60.22331,24.86619,MAPBOX
ATHOL,42.59390,-72.22859,MAPBOX
ATHRD,26.42927,85.46897,MAPBOX
ATHSN,24.60873,83.72545,MAPBOX
ATJDN,-26.85748,26.63169,MAPBOX
ATJUN,22.01712,88.27065,MAPBOX
ATKIE,8.77539,14.04688,MAPBOX
ATKMG,60.22331,24.86619,MAPBOX
ATLBN,59.55889,-133.69066,MAPBOX
ATLCU,15.22078,120.59393,MAPBOX
ATLEC,37.65398,-77.40219,MAPBOX
ATLEZ,37.65398,-77.40219,MAPBOX
ATLIZ,36.68620,39.21801,MAPBOX
ATLTN,59.55889,-133.69066,MAPBOX
ATLUT,19.00255,-98.76916,MAPBOX
ATLZG,14.82380,120.84670,MAPBOX
ATLZN,59.55889,-133.69066,MAPBOX
ATMEL,55.01574,-1.50025,MAPBOX
ATMHK,48.58205,-72.23642,MAPBOX
ATMIF,53.48167,43.92342,MAPBOX
ATMIK,40.69305,41.74732,MAPBOX
ATMIT,53.48167,43.92342,MAPBOX
ATMTH,36.31129,36.68735,MAPBOX
ATMUN,43.00630,-2.17600,MAPBOX
ATNES,60.87517,7.14967,MAPBOX
ATNUA,-13.95485,-171.65112,MAPBOX
ATOAL,52.51353,5.49121,MAPBOX
ATOBU,-4.83242,122.72036,MAPBOX
ATOHD,33.91956,-6.93779,MAPBOX
ATOWT,1.38001,33.79177,MAPBOX
ATPER,52.29357,7.95181,MAPBOX
ATPUF,22.77270,88.04140,MAPBOX
ATPUR,22.77270,88.04140,MAPBOX
ATRAB,57.92263,13.49300,MAPBOX
ATRIE,42.57912,13.97912,MAPBOX
ATRKL,19.68671,-98.89240,MAPBOX
ATRTT,55.00733,46.70002,MAPBOX
ATRTV,60.29587,25.03176,MAPBOX
ATRWL,19.68671,-98.89240,MAPBOX
ATRXG,57.98264,13.53458,MAPBOX
ATRZL,47.20737,10.76170,MAPBOX
ATSAR,-23.01996,47.50814,MAPBOX
ATSCH,50.78291,6.20432,MAPBOX
ATSCW,50.78291,6.20432,MAPBOX
ATSEN,28.01714,79.44653,MAPBOX
ATSER,52.29357,7.95181,MAPBOX
ATSIN,-18.15540,49.40984,MAPBOX
ATSJB,13.36667,39.56666,MAPBOX
ATSLL,45.26460,-75.76432,MAPBOX
ATSML,14.05825,38.59783,MAPBOX
ATSST,42.80479,2.23450,MAPBOX
ATSTA,34.51228,-117.31900,MAPBOX
ATSTS,-22.27964,-42.50238,MAPBOX
ATSTV,54.99115,-123.04118,MAPBOX
ATSTZ,54.99115,-123.04118,MAPBOX
ATSVT,31.68567,34.60055,MAPBOX
ATTBH,28.02150,77.49958,MAPBOX
ATTEC,5.34979,-4.04728,MAPBOX
ATTEL,49.74747,10.63476,MAPBOX
ATTFN,48.89009,6.08811,MAPBOX
ATTNZ,26.54470,-81.91002,MAPBOX
ATTOL,43.17188,12.45946,MAPBOX
ATTRW,12.50262,14.41767,MAPBOX
ATTSK,-22.27964,-42.50238,MAPBOX
ATULF,18.48801,73.79430,MAPBOX
ATUTD,28.73550,77.87381,MAPBOX
ATVLH,38.66176,-27.18283,MAPBOX
ATVOE,-17.53862,-149.36609,MAPBOX
ATWCE,50.68893,4.33053,MAPBOX
ATWNF,-31.27056,149.09872,MAPBOX
ATWNR,1.88914,32.91319,MAPBOX
ATWSS,17.53776,8.41248,MAPBOX
ATWTN,30.08011,76.84260,MAPBOX
ATXXX,52.21031,-174.20291,MAPBOX
AU,-25.73497,134.48956,MAPBOX
AUAAB,-2.16274,133.65266,MAPBOX
AUABG,-2.16274,133.65266,MAPBOX
AUABH,-2.16274,133.65266,MAPBOX
AUABL,4.92200,47.45030,MAPBOX
AUABM,-2.16274,133.65266,MAPBOX
AUABV,-2.16274,133.65266,MAPBOX
AUADA,7.31667,38.58333,MAPBOX
AUADO,31.70778,-111.06430,MAPBOX
AUAGY,47.96153,21.93516,MAPBOX
AUALA,-13.51546,-172.65285,MAPBOX
AUALH,-13.51546,-172.65285,MAPBOX
AUAMT,19.51226,-155.93706,MAPBOX
AUAMX,19.51226,-155.93706,MAPBOX
AUANZ,42.75280,-1.37950,MAPBOX
AUARD,53.25662,6.45961,MAPBOX
AUARL,4.92200,47.45030,MAPBOX
AUARM,-15.94850,-5.70282,MAPBOX
AUARY,-3.14612,-58.43818,MAPBOX
AUASP,15.23918,-83.87326,MAPBOX
AUAUD,20.42711,81.46296,MAPBOX
AUAUU,-14.28332,-170.56024,MAPBOX
AUAVG,68.66354,14.66923,MAPBOX
AUAWN,25.97748,84.82738,MAPBOX
AUAXC,8.99250,40.16767,MAPBOX
AUAXL,4.92200,47.45030,MAPBOX
AUAYD,-23.45180,-46.52249,MAPBOX
AUAYL,4.92200,47.45030,MAPBOX
AUAYR,-20.66031,-40.50544,MAPBOX
AUBAH,-6.97067,109.87290,MAPBOX
AUBAK,45.08192,1.19312,MAPBOX
AUBBE,48.29716,4.07463,MAPBOX
AUBCH,43.64780,0.58538,MAPBOX
AUBCI,43.87553,19.79307,MAPBOX
AUBCK,48.47240,15.67938,MAPBOX
AUBCZ,52.68951,17.68245,MAPBOX
AUBDD,50.59323,11.22948,MAPBOX
AUBDS,45.08192,1.19312,MAPBOX
AUBEE,47.13918,2.56008,MAPBOX
AUBEL,50.70415,5.85855,MAPBOX
AUBEO,48.29716,4.07463,MAPBOX
AUBEU,48.29716,4.07463,MAPBOX
AUBGN,46.89544,6.77578,MAPBOX
AUBGR,48.80148,2.37941,MAPBOX
AUBHS,45.08192,1.19312,MAPBOX
AUBHT,47.45877,-69.00312,MAPBOX
AUBIP,46.89544,6.77578,MAPBOX
AUBIW,46.89544,6.77578,MAPBOX
AUBLN,46.89544,6.77578,MAPBOX
AUBLO,40.43130,-3.64123,MAPBOX
AUBLS,45.08192,1.19312,MAPBOX
AUBLT,40.58248,-104.73155,MAPBOX
AUBME,48.29716,4.07463,MAPBOX
AUBND,26.95952,77.01106,MAPBOX
AUBNK,50.79456,-3.35109,MAPBOX
AUBOX,37.38832,-2.14614,MAPBOX
AUBQA,14.23305,-84.60698,MAPBOX
AUBQL,50.70415,5.85855,MAPBOX
AUBRA,14.23305,-84.60698,MAPBOX
AUBRJ,50.36975,3.46589,MAPBOX
AUBRK,50.36975,3.46589,MAPBOX
AUBRT,48.83271,2.12120,MAPBOX
AUBSJ,-32.96759,151.53005,MAPBOX
AUBTD,50.59323,11.22948,MAPBOX
AUBUS,45.95659,2.16758,MAPBOX
AUBUV,47.45877,-69.00312,MAPBOX
AUBUY,50.41467,3.05357,MAPBOX
AUBVI,49.71304,2.48228,MAPBOX
AUBVZ,46.78148,6.56192,MAPBOX
AUBWT,47.45877,-69.00312,MAPBOX
AUBYP,50.41467,3.05357,MAPBOX
AUBYX,50.41467,3.05357,MAPBOX
AUBZD,50.59323,11.22948,MAPBOX
AUCAL,-11.55939,-77.17573,MAPBOX
AUCAZ,42.93569,0.97416,MAPBOX
AUCBC,43.86417,2.04128,MAPBOX
AUCBI,-4.57067,-37.76557,MAPBOX
AUCBN,42.97313,-0.19346,MAPBOX
AUCBR,-42.16744,-73.48501,MAPBOX
AUCBY,50.51172,2.78677,MAPBOX
AUCCL,43.06989,13.41195,MAPBOX
AUCCU,-22.35688,-47.36028,MAPBOX
AUCCW,43.06989,13.41195,MAPBOX
AUCDA,-37.88522,-68.52006,MAPBOX
AUCDQ,44.32152,3.05984,MAPBOX
AUCDU,10.31350,11.57791,MAPBOX
AUCED,56.46624,22.89330,MAPBOX
AUCES,55.88771,26.54757,MAPBOX
AUCFH,43.64780,0.58538,MAPBOX
AUCFI,-4.57067,-37.76557,MAPBOX
AUCFS,-33.04828,-71.42065,MAPBOX
AUCHA,46.44199,-0.86786,MAPBOX
AUCHB,43.64780,0.58538,MAPBOX
AUCIE,55.82622,26.91550,MAPBOX
AUCKI,58.56178,-3.09617,MAPBOX
AUCLH,43.64780,0.58538,MAPBOX
AUCLL,50.38644,8.00576,MAPBOX
AUCLN,42.97313,-0.19346,MAPBOX
AUCLR,-42.16744,-73.48501,MAPBOX
